;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Referencia;Nombre;Categoría;Contenido paquete;Composición del material;Nombre de la marca;2022Año;Estación;Unidad de venta;Color;Talla;Stock;N° de piezas fuera de unidad de stock;Pedido;Reserva de proveedor (cantidad de artículos individuales);Preventa;Preventa (cantidad de artículos individuales);Código de barras;Peso (en gramos);Ubicación;Precio de compra;Proveedor;Precio A;Precio B;Precio C;Precio D;Precio Promoción;País de origen;Descuento (%);Observación;Cantidad de compras;Ventas;Importe de venta;Margen €;Precio medio de venta;Precio de compra del stock positivos;Valor de stock;Stock precio A;Fecha de creación
KU3209;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005307;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
KU2247;;Sin categoría;;;;;VERANO;1;Azul Turquesa;;8;0;0;0;0;0;2027290005267;0;;0;;10;10;10;0;0;;;;0;2;20;20;10;0;0;80;2026-06-26
KU2247;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005305;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2157;;VESTIDO CORTO;;;;;VERANO;1;VERDE;;0;0;0;0;0;0;2027290005219;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;0;2026-06-26
KU2157;;VESTIDO CORTO;;;;;VERANO;1;BLANCO;;0;0;0;0;0;0;2027290005220;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;0;2026-06-26
KU2157;;VESTIDO CORTO;;;;;VERANO;1;AZUL;;0;0;0;0;0;0;2027290005301;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;0;2026-06-26
KU825;;Sin categoría;;;;;;1;AZUL;;10;0;0;0;0;0;2027290005295;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-07-02
KU825;;Sin categoría;;;;;;1;ROSA;;10;0;0;0;0;0;2027290005296;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-07-02
KU825;;Sin categoría;;;;;;1;VERDE OLIVA;;10;0;0;0;0;0;2027290005297;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-07-02
KU619;;Sin categoría;;;;;;1;AZUL;;6;0;0;0;0;0;2027290005292;0;;0;;12;12;12;0;0;;;;0;4;28;28;7;0;0;72;2026-07-02
KU619;;Sin categoría;;;;;;1;ROSA;;6;0;0;0;0;0;2027290005293;0;;0;;12;12;12;0;0;;;;0;4;28;28;7;0;0;72;2026-07-02
KU619;;Sin categoría;;;;;;1;NARANJA;;6;0;0;0;0;0;2027290005294;0;;0;;12;12;12;0;0;;;;0;4;28;28;7;0;0;72;2026-07-02
KU2416;;Sin categoría;;;;;VERANO;1;ROSA PALO;;10;0;0;0;0;0;2027290005156;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
KU2416;;Sin categoría;;;;;VERANO;1;NEGRO;;10;0;0;0;0;0;2027290005277;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
KU428;;Sin categoría;;;;;;1;ROJO;;10;0;0;0;0;0;2027290005227;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU428;;Sin categoría;;;;;;1;CAMEL;;10;0;0;0;0;0;2027290005228;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU428;;Sin categoría;;;;;;1;VERDE;;9;0;0;0;0;0;2027290005229;0;;0;;10;10;10;0;0;;;;0;1;10;10;10;0;0;90;2026-06-28
KU797;;Sin categoría;;;;;;1;CAMEL;;10;0;0;0;0;0;2027290005235;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU797;;Sin categoría;;;;;;1;AZUL;;10;0;0;0;0;0;2027290005236;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU797;;Sin categoría;;;;;;1;BLANCO;;10;0;0;0;0;0;2027290005237;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU725;;Sin categoría;;;;;;1;CAMEL;;10;0;0;0;0;0;2027290005242;0;;0;;12,5;12,5;12,5;0;0;;;;0;0;0;0;0;0;0;125;2026-06-28
KU725;;Sin categoría;;;;;;1;AZUL CLARO;;10;0;0;0;0;0;2027290005243;0;;0;;12,5;12,5;12,5;0;0;;;;0;0;0;0;0;0;0;125;2026-06-28
KU725;;Sin categoría;;;;;;1;NARANJA/ VERDE AGUA;;10;0;0;0;0;0;2027290005244;0;;0;;12,5;12,5;12,5;0;0;;;;0;0;0;0;0;0;0;125;2026-06-28
KU824;;Sin categoría;;;;;;1;ROSA;;6;0;0;0;0;0;2027290005247;0;;0;;10,5;10,5;10,5;0;0;;;;0;4;24;24;6;0;0;63;2026-06-28
KU824;;Sin categoría;;;;;;1;AZUL;;6;0;0;0;0;0;2027290005248;0;;0;;10,5;10,5;10,5;0;0;;;;0;4;24;24;6;0;0;63;2026-06-28
KU824;;Sin categoría;;;;;;1;VERDE AGUA/OCRE;;6;0;0;0;0;0;2027290005249;0;;0;;10,5;10,5;10,5;0;0;;;;0;4;24;24;6;0;0;63;2026-06-28
KU456;;Sin categoría;;;;;;1;CAMEL;;10;0;0;0;0;0;2027290005254;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU456;;Sin categoría;;;;;;1;VERDE;;10;0;0;0;0;0;2027290005256;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU456;;Sin categoría;;;;;;1;AZUL CELESTE;;10;0;0;0;0;0;2027290005257;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU2116;;Sin categoría;;;;;;1;ROSA;;4;0;0;0;0;0;2027290005259;0;;0;;10;10;10;0;0;;;;0;6;42;42;7;0;0;40;2026-06-28
KU2116;;Sin categoría;;;;;;1;NEGRO;;4;0;0;0;0;0;2027290005260;0;;0;;10;10;10;0;0;;;;0;6;42;42;7;0;0;40;2026-06-28
KU2165;;Sin categoría;;;;;;1;BLANCO;;10;0;0;0;0;0;2027290005263;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU2165;;Sin categoría;;;;;;1;AZUL CLARO;;10;0;0;0;0;0;2027290005264;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU626-1;;Sin categoría;;;;;;1;AZUL;;10;0;0;0;0;0;2027290005282;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-07-01
KU626-1;;Sin categoría;;;;;;1;ROSA;;10;0;0;0;0;0;2027290005283;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-07-01
KU833;;Sin categoría;;;;;;1;AZUL;;10;0;0;0;0;0;2027290005230;0;;0;;10;10;10;10;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU833;;Sin categoría;;;;;;1;VERDE OLIVA;;10;0;0;0;0;0;2027290005231;0;;0;;10;10;10;10;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU833;;Sin categoría;;;;;;1;CAMEL;;10;0;0;0;0;0;2027290005232;0;;0;;10;10;10;10;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU504;;Sin categoría;;;;;;1;ROSA;;6;0;0;0;0;0;2027290005251;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;60;2026-06-28
KU504;;Sin categoría;;;;;;1;VERDE;;-4;0;0;0;0;0;2027290005284;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;-40;2026-06-28
KU504;;Sin categoría;;;;;;1;AMARILLO;;6;0;0;0;0;0;2027290005285;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;60;2026-06-28
KU780;;Sin categoría;;;;;VERANO;1;VERDE;;6;0;0;0;0;0;2027290005149;0;;0;;10,5;10,5;10,5;0;0;;;;0;7;55;55;7,86;0;0;63;2026-06-26
KU780;;Sin categoría;;;;;VERANO;1;CAMEL;;6;0;0;0;0;0;2027290005177;0;;0;;10,5;10,5;10,5;0;0;;;;0;4;28;28;7;0;0;63;2026-06-26
KU780;;Sin categoría;;;;;VERANO;1;AZUL;;-4;0;0;0;0;0;2027290005258;0;;0;;10,5;10,5;10,5;0;0;;;;0;4;28;28;7;0;0;-42;2026-06-26
KU459;;Sin categoría;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290004764;0;;0;;14,5;14,5;14,5;0;0;;;;0;0;0;0;0;0;0;145;2026-06-05
KU459;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290004767;0;;0;;14,5;14,5;14,5;0;0;;;;0;0;0;0;0;0;0;145;2026-06-05
KU459;;Sin categoría;;;;;VERANO;1;VERDE;;0;0;0;0;0;0;2027290005286;0;;0;;14,5;14,5;14,5;0;0;;;;0;0;0;0;0;0;0;0;2026-06-05
KU2123;;Sin categoría;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290005179;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2123;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005184;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2123;;Sin categoría;;;;;VERANO;1;NEGRO;;10;0;0;0;0;0;2027290005189;0;;0;;10;10;10;0;0;;;;0;2;20;20;10;0;0;100;2026-06-26
KU3101;;Sin categoría;;;;;VERANO;1;AMARILLO;;6;0;0;0;0;0;2027290004765;0;;0;;14,5;14,5;14,5;0;0;;;;0;5;42,5;42,5;8,5;0;0;87;2026-06-05
KU3101;;Sin categoría;;;;;VERANO;1;LILA;;6;0;0;0;0;0;2027290004773;0;;0;;14,5;14,5;14,5;0;0;;;;0;4;28;28;7;0;0;87;2026-06-05
KU3101;;Sin categoría;;;;;VERANO;1;ROSA;;6;0;0;0;0;0;2027290005234;0;;0;;14,5;14,5;14,5;0;0;;;;0;4;28;28;7;0;0;87;2026-06-05
